nfeatures,n_octave_layers,ratio_threshold,min_match_count,min_inliers,min_bbox_area,accuracy,tpr,fpr,tp,fp,fn,runtime
2000,4,0.6,20,10,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,12.147712363999744
2000,4,0.6,35,6,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,10.748841250999249
2000,4,0.6,35,6,100,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,10.751810289999412
2000,4,0.6,35,10,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,11.448397414998908
2000,4,0.6,35,20,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,10.650810953993641
2000,6,0.6,35,20,100,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,13.053986539001926
4000,4,0.75,20,10,25,0.5876288659793815,0.6627906976744186,0.16176470588235295,57,11,29,19.198684667004272
1000,6,0.6,10,20,25,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,16.565848813996126
1000,6,0.6,20,20,100,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,14.331214910002018
2000,3,0.75,10,10,25,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,11.282879071004572
4000,3,0.7,10,10,100,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,8.768998892999662
4000,3,0.75,10,6,25,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,10.213934581996
4000,4,0.6,10,6,100,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,17.813432164002734
4000,6,0.6,10,20,25,0.5858585858585859,0.6744186046511628,0.18309859154929578,58,13,28,21.0224102209977
2000,3,0.75,10,10,100,0.5841584158415841,0.686046511627907,0.20270270270270271,59,15,27,11.271683190003387
2000,6,0.7,10,20,25,0.5841584158415841,0.686046511627907,0.20270270270270271,59,15,27,16.38443191400438
2000,6,0.7,35,10,25,0.5841584158415841,0.686046511627907,0.20270270270270271,59,15,27,14.95455437200144
4000,6,0.65,10,20,100,0.5841584158415841,0.686046511627907,0.20270270270270271,59,15,27,21.90112574199884
4000,4,0.6,20,6,25,0.5833333333333334,0.6511627906976745,0.15151515151515152,56,10,30,17.029936393999378
1000,3,0.75,10,6,25,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,11.28488805800589
1000,4,0.6,35,10,100,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,10.376517329998023
1000,4,0.6,35,20,25,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,10.319082626003365
1000,4,0.75,10,10,100,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,15.134912614994391
2000,3,0.75,20,20,25,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,11.325753172997793
2000,4,0.6,10,20,100,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,15.541156623999996
2000,4,0.6,20,20,100,0.5816326530612245,0.6627906976744186,0.17391304347826086,57,12,29,13.014595690001443
